AF:F110	BC:110	DE:C018	HL:4019	SP:FFFE
Executing 12 at PC 207
AF:F110	BC:110	DE:C018	HL:4019	SP:FFFE
Executing 1c at PC 208
AF:F110	BC:110	DE:C019	HL:4019	SP:FFFE
Executing 20 at PC 209
AF:F110	BC:110	DE:C019	HL:4019	SP:FFFE
Executing 2a at PC 206
AF:3D10	BC:110	DE:C019	HL:401A	SP:FFFE
Executing 12 at PC 207
AF:3D10	BC:110	DE:C019	HL:401A	SP:FFFE
Executing 1c at PC 208
AF:3D10	BC:110	DE:C01A	HL:401A	SP:FFFE
Executing 20 at PC 209
AF:3D10	BC:110	DE:C01A	HL:401A	SP:FFFE
Executing 2a at PC 206
AF:2010	BC:110	DE:C01A	HL:401B	SP:FFFE
Executing 12 at PC 207
AF:2010	BC:110	DE:C01A	HL:401B	SP:FFFE
Executing 1c at PC 208
AF:2010	BC:110	DE:C01B	HL:401B	SP:FFFE
Executing 20 at PC 209
AF:2010	BC:110	DE:C01B	HL:401B	SP:FFFE
Executing 2a at PC 206
AF:F610	BC:110	DE:C01B	HL:401C	SP:FFFE
Executing 12 at PC 207
AF:F610	BC:110	DE:C01B	HL:401C	SP:FFFE
Executing 1c at PC 208
AF:F610	BC:110	DE:C01C	HL:401C	SP:FFFE
Executing 20 at PC 209
AF:F610	BC:110	DE:C01C	HL:401C	SP:FFFE
Executing 2a at PC 206
AF:C910	BC:110	DE:C01C	HL:401D	SP:FFFE
Executing 12 at PC 207
AF:C910	BC:110	DE:C01C	HL:401D	SP:FFFE
Executing 1c at PC 208
AF:C910	BC:110	DE:C01D	HL:401D	SP:FFFE
Executing 20 at PC 209
AF:C910	BC:110	DE:C01D	HL:401D	SP:FFFE
Executing 2a at PC 206
AF:B710	BC:110	DE:C01D	HL:401E	SP:FFFE
Executing 12 at PC 207
AF:B710	BC:110	DE:C01D	HL:401E	SP:FFFE
Executing 1c at PC 208
AF:B710	BC:110	DE:C01E	HL:401E	SP:FFFE
Executing 20 at PC 209
AF:B710	BC:110	DE:C01E	HL:401E	SP:FFFE
Executing 2a at PC 206
AF:C810	BC:110	DE:C01E	HL:401F	SP:FFFE
Executing 12 at PC 207
AF:C810	BC:110	DE:C01E	HL:401F	SP:FFFE
Executing 1c at PC 208
AF:C810	BC:110	DE:C01F	HL:401F	SP:FFFE
Executing 20 at PC 209
AF:C810	BC:110	DE:C01F	HL:401F	SP:FFFE
Executing 2a at PC 206
AF:F510	BC:110	DE:C01F	HL:4020	SP:FFFE
Executing 12 at PC 207
AF:F510	BC:110	DE:C01F	HL:4020	SP:FFFE
Executing 1c at PC 208
AF:F530	BC:110	DE:C020	HL:4020	SP:FFFE
Executing 20 at PC 209
AF:F530	BC:110	DE:C020	HL:4020	SP:FFFE
Executing 2a at PC 206
AF:3E30	BC:110	DE:C020	HL:4021	SP:FFFE
Executing 12 at PC 207
AF:3E30	BC:110	DE:C020	HL:4021	SP:FFFE
Executing 1c at PC 208
AF:3E10	BC:110	DE:C021	HL:4021	SP:FFFE
Executing 20 at PC 209
AF:3E10	BC:110	DE:C021	HL:4021	SP:FFFE
Executing 2a at PC 206
AF:FF10	BC:110	DE:C021	HL:4022	SP:FFFE
Executing 12 at PC 207
AF:FF10	BC:110	DE:C021	HL:4022	SP:FFFE
Executing 1c at PC 208
AF:FF10	BC:110	DE:C022	HL:4022	SP:FFFE
Executing 20 at PC 209
AF:FF10	BC:110	DE:C022	HL:4022	SP:FFFE
Executing 2a at PC 206
AF:CD10	BC:110	DE:C022	HL:4023	SP:FFFE
Executing 12 at PC 207
AF:CD10	BC:110	DE:C022	HL:4023	SP:FFFE
Executing 1c at PC 208
AF:CD10	BC:110	DE:C023	HL:4023	SP:FFFE
Executing 20 at PC 209
AF:CD10	BC:110	DE:C023	HL:4023	SP:FFFE
Executing 2a at PC 206
AF:1210	BC:110	DE:C023	HL:4024	SP:FFFE
Executing 12 at PC 207
AF:1210	BC:110	DE:C023	HL:4024	SP:FFFE
Executing 1c at PC 208
AF:1210	BC:110	DE:C024	HL:4024	SP:FFFE
Executing 20 at PC 209
AF:1210	BC:110	DE:C024	HL:4024	SP:FFFE
Executing 2a at PC 206
AF:C010	BC:110	DE:C024	HL:4025	SP:FFFE
